FACILITY,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY,STATE,ZIP CODE,PARENT COMPANIES,SUBPARTS,"TOTAL REPORTED EMISSIONS, 2011","TOTAL REPORTED EMISSIONS, 2012","TOTAL REPORTED EMISSIONS, 2013","TOTAL REPORTED EMISSIONS, 2014","TOTAL REPORTED EMISSIONS, 2015","TOTAL REPORTED EMISSIONS, 2016","TOTAL REPORTED EMISSIONS, 2017","TOTAL REPORTED EMISSIONS, 2018","TOTAL REPORTED EMISSIONS, 2019","TOTAL REPORTED EMISSIONS, 2020","TOTAL REPORTED EMISSIONS, 2021","TOTAL REPORTED EMISSIONS, 2022",CHANGE IN EMISSIONS (2021 TO 2022),CHANGE IN EMISSIONS (2011 TO 2022),SECTORS
COLUMBIA UNIVERSITY-410 W 118TH ST,1002399,410 WEST 118TH STREET,40.807601,-73.960197,NEW YORK,NEW YORK COUNTY,NY,10027,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK (100%),C,"76,380","58,895","64,086","74,780","46,841","60,474","63,126","69,252","73,122","66,139","48,501","61,274","12,772","-15,107",Other
"CSU, San Jose State University",1011772,1 Washington Square,37.33443,-121.88061,San Jose,SANTA CLARA COUNTY,CA,95192,STATE OF CALIFORNIA (100%),C,---,---,---,"30,317","30,292","29,611","30,587","27,642","30,618","27,616","25,962","25,607",-355,---,Other
California Institute of Technology,1002105,1200 E. California,34.13433,-118.12652,Pasadena,LOS ANGELES COUNTY,CA,91125,CALIFORNIA INSTITUTE OF TECHNOLOGY (100%),C,"60,186","57,836","58,039","56,003","56,409","56,146","59,372","59,856","60,336","53,191","59,469","36,494","-22,976","-23,692",Other
Cornell University Ithaca Campus,1007232,Humphreys Service Building ROUTE 366,42.4428,-76.4764,ITHACA,Tompkins,NY,14853,CORNELL UNIVERSITY (100%),C,"158,651","142,069","149,570","152,416","165,020","169,266","164,796","173,135","164,598","152,368","146,273","146,658",385,"-11,993",Other
DARTMOUTH COLLEGE HEATING PLANT,1005264,MCKENZIE HALL 6111,43.9358,-71.8224,HANOVER,GRAFTON COUNTY,NH,03755,TRUSTEES OF DARTMOUTH COLLEGE (100%),C,"55,677","43,871","42,911","43,742","43,326","42,735","42,223","44,628","44,096","39,350","43,740","42,669","-1,070","-13,008",Other
DUKE UNIVERSITY,1003297,131 RESEARCH DR,36.008498,-78.942578,DURHAM,DURHAM COUNTY,NC,27710,DUKE UNIVERSITY (100%),C,"91,822","55,268","88,678","87,158","82,462","81,530","82,816","89,001","88,264","88,886","83,859","98,023","14,164","6,202",Other
EMORY UNIVERSITY,1006236,100 Water Tower Place,33.7981,-84.325937,ATLANTA,DEKALB COUNTY,GA,30322,EMORY UNIVERSITY (100%),C,"48,950","44,478","47,400","53,486","50,701","50,994","50,731","53,763","51,896","49,759","49,174","51,409","2,234","2,459",Other
Eastern Michigan University,1005464,812 Oakwood,42.25113,-83.629348,Ypsilanti,WASHTENAW COUNTY,MI,48197,EASTERN MICHIGAN UNIVERSITY (100%),C,"35,952","36,113","37,054","34,468","34,838","29,305",---,"38,000","42,084","37,731","36,030","38,414","2,383","2,461",Other
Florida State University,1005785,"990 Learning Way, Building 30",30.442663,-84.29763,Tallahassee,LEON COUNTY,FL,32306,BOARD OF GOVERNORS STATE UNIVERSITY SYSTEM OF FLORIDA (100%),C,"28,234","27,574","28,608","30,713","26,858","26,529","30,052","27,981",---,---,---,---,---,---,Other
GEORGIA INSTITUTE OF TECHNOLOGY,1004388,151 Sixth Street NW,33.77816,-84.39244,ATLANTA,FULTON COUNTY,GA,30332,BOARD OF REGENTS OF THE UNIVERSITY SYSTEM OF GEORGIA (100%),C,"48,907","45,538","62,437","52,344","61,391","62,840","50,139","41,299","37,379","36,151","34,398","36,503","2,105","-12,405",Other
Georgetown University,1014675,3700 O St NW,38.90666,-77.07332,Washington,DISTRICT OF COLUMBIA,DC,20057,Georgetown University (100%),C,---,---,---,---,---,---,---,---,---,---,---,"41,908",---,---,Other
Howard University,1013779,2244 10th Street NW,38.9206,-77.0216,Washington,DISTRICT OF COLUMBIA,DC,20059,HOWARD UNIVERSITY (INC) (100%),C,---,---,---,---,---,---,---,"25,238",---,---,---,---,---,---,Other
ILLINOIS STATE UNIVERSITY,1001290,100 S. UNIVERSITY ST.,40.510417,-88.992956,NORMAL,MCLEAN COUNTY,IL,61790,STATE OF ILLINOIS (100%),C,"33,625","27,457","27,100","30,650","27,095","25,449","25,813","27,974","27,820","26,617","25,363","26,417","1,054","-7,208",Other
INDIANA UNIVERSITY,1003713,1514 E. 3rd St.,39.16425,-86.515004,BLOOMINGTON,MONROE COUNTY,IN,47405,TRUSTEES OF INDIANA UNIVERSITY (100%),C,"167,456","95,883","98,237","155,591","108,250","84,903","92,303","96,495","90,929","90,220","93,365","99,635","6,270","-67,821",Other
IOWA STATE UNIVERSITY/ ISU HEATING PLANT,1002641,WALLACE ROAD,42.027734,-93.639466,AMES,STORY COUNTY,IA,50011,IOWA STATE UNIVERSITY OF SCIENCE &  TECHNOLOGY (100%),C,"327,281","318,082","309,229","300,165","287,856","253,123","247,392","243,515","230,995","203,541","208,785","211,657","2,872","-115,624",Other
JOHNS HOPKINS - HOMEWOOD CAMPUS,1006614,"3400       CHARLES STREET, NORTH",39.32907,-76.61791,BALTIMORE,BALTIMORE CITY,MD,21218,JOHNS HOPKINS UNIVERSITY (100%),C,"33,250","33,274","33,655","35,512","32,684","30,390","30,920","31,881","31,195","30,701","32,735","29,054","-3,681","-4,196",Other
James Madison University,1012839,800 South Main Street,38.44111,-78.87445,Harrisonburg,HARRISONBURG CITY,VA,22807,JAMES MADISON UNIVERSITY (100%),C,---,---,---,"26,533","34,183","35,057","36,070","38,921","35,226","29,264","30,445","30,499",55,---,Other
KANSAS STATE UNIV MAIN CAMPUS,1003550,1628 Claflin Rd,39.21552,-96.60747,MANHATTAN,RILEY COUNTY,KS,66506,STATE OF KANSAS (100%),C,"39,640","33,022","35,632","36,323","33,790",---,"33,886","36,269","38,379","34,168","35,754","38,163","2,409","-1,477",Other
KENT STATE UNIVERSITY HEATING PLANT (1667040085),1006759,1501 Ted Boyd Drive,41.14128,-81.34284,KENT,PORTAGE COUNTY,OH,44242,KENT STATE UNIVERSITY (100%),C,"56,366","56,190","49,047","47,090","45,750","49,725","49,211","51,570","39,240","32,117","38,659","39,461",802,"-16,905",Other
LOUISIANA STATE UNIVERSITY - LSU,1006955,,30.408626,-91.180829,BATON ROUGE,EAST BATON ROUGE PARISH,LA,70803,STATE OF LOUISIANA (100%),C,"89,915","108,433","114,783","111,918","108,352","110,051","95,732","109,722","109,222","121,266","127,694","127,683",-12,"37,768",Other
Loma Linda University,1001886,11100 Anderson Street,34.048439,-117.249975,Loma Linda,SAN BERNARDINO COUNTY,CA,92354,LOMA LINDA UNIVERSITY (100%),C,"59,017","60,004","62,290","61,258","60,044","59,204","52,087","57,177","53,499","55,110","61,736","59,393","-2,343",376,Other
MIAMI UNIVERSITY (1409090081),1005305,101 South Fisher Drive,39.471718,-84.752448,OXFORD,BUTLER COUNTY,OH,45056,MIAMI UNIVERSITY (100%),C,"60,733","43,512","53,415","53,279","41,382","29,299","25,623","28,017",---,---,---,---,---,---,Other
MICHIGAN STATE UNIVERSITY,1001250,354 Service Rd.,42.7178,-84.4836,EAST LANSING,INGHAM COUNTY,MI,48824,MICHIGAN STATE UNIVERSITY (100%),C,"541,863","474,995","480,548","428,783","436,466","437,071","339,221","365,556","374,534","337,811","345,753","334,551","-11,202","-207,312",Other
MIDDLE TENNESSEE STATE UNIVERSITY,1004834,1301 EAST MAIN STREET,35.84342,-86.37075,MURFREESBORO,RUTHERFORD COUNTY,TN,37132,Middle Tennessee State University (100%),C,"31,406","34,765","47,924","51,750","48,492","49,260","36,835","42,534","39,845","42,931","39,716","39,312",-404,"7,905",Other
MIT Central Utility Plant,1001289,59 VASSAR ST,42.3611,-71.0934,CAMBRIDGE,Middlesex,MA,02139,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (100%),C,"141,908","137,864","140,448","145,000","141,797","128,376","106,789","131,470","123,487","111,369","131,848","168,494","36,646","26,586",Other
Mississippi State University,1013525,600 Russell Street,33.45834,-88.80383,Starkville,OKTIBBEHA COUNTY,MS,39762,Mississippi State University (100%),C,---,---,---,---,---,---,---,---,---,---,---,"26,663",---,---,Other
Montclair State University,1002987,1 Normal Avenue,40.8572,-74.1983,Montclair,ESSEX COUNTY,NJ,07043,MONTCLAIR STATE UNIVERSITY (100%),C,"34,102","34,082","34,058","36,853","39,723","35,836","36,341","44,041","37,878","36,902","37,449","38,103",654,"4,002",Other
NCSU CENTRAL HEAT PLANT,1005699,2815 CATES AVENUE,35.78658,-78.68103,RALEIGH,WAKE COUNTY,NC,27695,THE UNIVERSITY OF NORTH CAROLINA (100%),C,"62,454","74,446","94,516","101,258","96,592","93,595","89,428","95,417","106,751","99,958","111,729","115,669","3,940","53,215",Other
NEW MEXICO STATE UNIVERSITY CAMPUS,1005544,1620 Standley Drive ARC-C-Room 109,32.273071,-106.749013,LAS CRUCES,DONA ANA COUNTY,NM,88003,NEW MEXICO STATE UNIVERSITY (100%),C,"33,840","32,303","31,197","32,089","32,266","35,053","31,169","30,402","32,447","31,903","33,437","31,695","-1,742","-2,145",Other
NEW YORK UNIVERSITY CENTRAL PLANT,1004629,251 MERCER STREET,40.728403,-73.995407,NEW YORK,NEW YORK COUNTY,NY,10012,NEW YORK UNIVERSITY (100%),C,"99,319","82,713","84,233","88,244","86,456","82,316","74,344","78,742","78,604","64,779","69,276","61,670","-7,606","-37,649",Other
NORTHEASTERN UNIVERSITY,1005277,360 HUNTINGTON AVENUE,42.34012,-71.08933,BOSTON,SUFFOLK COUNTY,MA,02115,NORTHEASTERN UNIVERSITY (100%),C,"30,348","31,573","33,735","31,160","31,316","28,985","30,011","30,846","29,883","27,380","27,139","26,792",-347,"-3,555",Other
NORTHWESTERN UNIVERSITY,1004520,2020 RIDGE AVE,42.054816,-87.674477,EVANSTON,COOK COUNTY,IL,60208,NORTHWESTERN UNIVERSITY (100%),C,"64,538","65,186","58,184","66,337","69,467","73,040","71,180","77,878","77,089","67,444","70,779","73,039","2,260","8,502",Other
NORTHWESTERN UNIVERSITY CHICAGO CAMPUS,1004522,410 E HURON,41.895256,-87.6173,CHICAGO,COOK COUNTY,IL,60611,NORTHWESTERN UNIVERSITY (100%),C,"35,482","31,277","34,521","34,007","29,944","28,976","29,358","28,405",---,---,"25,738","29,924","4,186","-5,558",Other
OHIO UNIVERSITY LAUSCHE HEATING PLANT (0605010016),1006948,FACTORY STREET,39.32756,-82.10858,ATHENS,ATHENS COUNTY,OH,45701,STATE OF OHIO (100%),C,"75,425","48,460",---,"53,733","43,346","34,236","26,847","29,461","29,877","28,339","27,342","25,371","-1,971","-50,054",Other
OKLAHOMA STATE UNIVERSITY,1001634,"University Health Services, Suite 002",36.1199,-97.088842,STILLWATER,PAYNE COUNTY,OK,74078,OKLAHOMA STATE UNIVERSITY (100%),C,---,---,---,---,---,---,---,---,---,---,---,"25,125",---,---,Other
OREGON STATE UNIVERSITY,1004658,100 Oak Creek Building,44.564272,-123.278594,CORVALLIS,BENTON COUNTY,OR,97331,OREGON STATE BOARD OF HIGHER EDUCATION (100%),C,"46,971","44,137","48,202","43,242","39,790","36,610","38,549","37,261","40,208","38,310","35,505","34,903",-602,"-12,067",Other
Penn State - University Park,1001751,101P Physical Plant Building,40.820844,-77.864416,University Park,CENTRE COUNTY,PA,16802,THE PENNSYLVANIA STATE UNIVERSITY (100%),C,"184,969","168,078","169,030","167,739","136,984","109,137","109,250","114,504","112,120","105,317","107,885","122,544","14,659","-62,425",Other
Purdue University-Wade Utility,1000165,419 South Grant Street,40.4172,-86.9117,West Lafayette,Tippecanoe,IN,47907,STATE OF INDIANA (100%),C,"409,031","396,771","341,668","327,752","305,962","328,186","284,953","279,655","309,999","304,068","352,284","327,645","-24,640","-81,386",Other
RICE UNIVERSITY,1004671,6100 MAIN STREET,29.72061,-95.39375,HOUSTON,HARRIS COUNTY,TX,77005,WILLIAM MARSH RICE UNIVERSITY INC (100%),C,"30,084","29,449",---,---,"26,262",---,"25,351",---,---,---,---,---,---,---,Other
ROWAN UNIV,1006073,201 MULLICA HILL ROAD,39.708639,-75.119432,GLASSBORO,GLOUCESTER COUNTY,NJ,08028,ROWAN UNIVERSITY (100%),C,"34,359","28,019",---,---,---,---,"25,908",---,"32,089",---,---,---,---,---,Other
RUTGERS UNIVERSITY BUSCH - LIVINGSTON CAMPUSE,1006187,74 Street 1603,40.517295,-74.430326,PISCATAWAY,MIDDLESEX COUNTY,NJ,08854,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY (100%),C,"95,408","86,822","121,998","95,340","98,487","93,797","98,695","127,460","103,082","89,608","123,290","103,294","-19,996","7,886",Other
Rutgers Health Science Campus at Newark,1005495,30 Bergen Street ADMC #2 Suite 207,40.744413,-74.190295,Newark,ESSEX COUNTY,NJ,07101,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY (100%),C,"63,740","67,128","61,675","70,511","79,691","73,671","71,530","65,314","68,058","41,745","32,160","42,679","10,519","-21,061",Other
SOUTHERN ILLINOIS UNIVERSITY,1000079,210 PHYSICAL PLANT DR,37.71083,-89.21754,CARBONDALE,JACKSON COUNTY,IL,62901,SOUTHERN ILLINOIS UNIVERSITY SYSTEM (100%),C,"123,434","158,890","111,681","103,502","97,992","104,919","99,126","104,890","101,360","91,810","97,357","95,205","-2,152","-28,229",Other
SUNY AT BINGHAMTON,1007385,4400 VESTAL PKWY E,42.087974,-75.970934,BINGHAMTON,BROOME COUNTY,NY,13902,NEW YORK STATE (100%),C,---,---,---,---,"26,280",---,---,---,---,---,---,---,---,---,Other
SYRACUSE UNIVERSITY - STEAM STATION,1007087,500 EAST TAYLOR STREET,43.03925,-76.14311,SYRACUSE,ONONDAGA COUNTY,NY,13244,SYRACUSE UNIVERSITY (100%),C,"55,283","52,283","56,438","57,902","61,747","53,315","55,055","56,552","58,528","55,093","53,739","53,301",-438,"-1,982",Other
San Diego State University,1012093,5500 Campanile Drive,32.77214,-117.07191,San Diego,SAN DIEGO COUNTY,CA,92182,STATE OF CALIFORNIA (100%),C,"50,401","50,283","48,094","52,015","49,903","41,999","41,029","42,351","42,738","34,973","45,116","50,927","5,811",526,Other
TEMPLE UNIVERSITY,1005851,1009 WEST MONTGOMERY AVENUE,39.979354,-75.151017,PHILADELPHIA,PHILADELPHIA COUNTY,PA,19122,TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION (100%),C,"33,995","32,650","33,901","37,545","38,004","36,048","37,242","54,088","38,397","31,736","33,532","35,109","1,578","1,115",Other
TEMPLE UNIVERSITY HEALTH SCIENCES CAMPUS,1005471,1218 W ONTARIO,40.00436,-75.1498,PHILADELPHIA,PHILADELPHIA COUNTY,PA,19140,TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION (100%),C,"29,925","28,491","30,574","35,368","27,673","29,952","30,056","30,154","27,449","28,068","28,336","29,880","1,543",-45,Other
TEXAS TECH UNIVERSITY,1004040,"2903 4th St, Rm 122",33.59223,-101.880084,Lubbock,LUBBOCK COUNTY,TX,79409,TEXAS TECH UNIVERSITY SYSTEM (100%),C,"58,565","55,315","54,113","66,765","66,681","60,572","53,715","60,060","64,545","63,068","61,928","64,905","2,977","6,340",Other
THE COLLEGE OF NEW JERSEY,1006075,2000 PENNINGTON ROAD,40.271251,-74.782693,EWING,MERCER COUNTY,NJ,08628,THE COLLEGE OF NEW JERSEY (100%),,"30,929","30,775","31,337","28,086","33,973","31,822","32,406","33,410","34,257",---,"34,416",---,---,---,Other
THE GEORGE WASHINGTON UNIVERSITY,1001922,2025 F ST NW,38.89735,-77.045339,WASHINGTON,DISTRICT OF COLUMBIA,DC,20052,THE GEORGE WASHINGTON UNIVERSITY (100%),C,"26,088",---,---,---,---,"27,369","33,595","35,387","34,986","33,973",---,"28,656",---,"2,568",Other
TRUSTEES OF PRINCETON UNIVERSITY,1001868,DEPT OF ENGINEERING MACMILLAN BLDG ELM DR,40.354641,-74.646744,PRINCETON,MERCER COUNTY,NJ,08543,THE TRUSTEES OF PRINCETON UNIVERSITY (100%),C,"87,393","101,460","83,542","85,575","81,702","75,262","82,233","98,674","81,589","68,723","71,614","69,076","-2,539","-18,317",Other
The Ohio State University,1000396,1314 KINNEAR ROAD,40.0008,-83.0158,COLUMBUS,Franklin,OH,43212,STATE OF OHIO (100%),C,"149,244","143,236","152,098","166,298","159,750","151,461","148,413","156,279","148,496","138,885","142,264","149,074","6,810",-171,Other
The President and Fellows of Harvard University (Cambridge Allston Blackstone),1000656,46 Blackstone Street,42.3636,-71.1161,Cambridge,Middlesex,MA,02139,PRESIDENT & FELLOWS OF HARVARD COLLEGE (100%),C,"74,824","64,839","69,223","69,798","69,309","80,210","79,996","82,860","83,227","73,613","76,533","76,378",-156,"1,553",Other
The University of NC Chapel Hill,1000234,501 CAMERON AVE,35.9069,-79.0617,CHAPEL HILL,Orange,NC,27599,STATE OF NORTH CAROLINA (100%),C,"265,696","228,850","230,180","256,653","269,731","249,983","260,771","249,429","227,737","197,498","201,214","179,491","-21,723","-86,205",Other
The University of Texas Southwestern Medical Center at Dallas,1000842,5323 Harry Hines Blvd.,32.812656,-96.842743,Dallas,DALLAS COUNTY,TX,75390,UNIVERSITY OF TEXAS SYSTEM (100%),C,"49,053","39,279","56,418","55,671","56,767","51,172","52,019","73,242","67,927","69,098","60,913","65,762","4,848","16,709",Other
UC Berkeley,1013042,317 University Hall,37.871889,-122.265978,Berkeley,ALAMEDA COUNTY,CA,94720,STATE OF CALIFORNIA (100%),C,---,---,---,---,---,---,"121,887","123,100","131,014","124,269","118,447","122,182","3,735",---,Other
UMASS MEDICAL SCHOOL,1006902,55 LAKE AVE NORTH,42.27863,-71.759025,WORCESTER,WORCESTER COUNTY,MA,01655,COMMONWEALTH OF MASSACHUSETTS (100%),C,"76,710","76,194","86,429","84,158","88,467","86,227","86,929","90,669","84,996","87,863","89,040","85,142","-3,897","8,432",Other
UMASS PHYSICAL PLANT BUILDING,1005136,360 CAMPUS CENTER WAY,42.389978,-72.537008,AMHERST,HAMPSHIRE COUNTY,MA,01003,UNIVERSITY OF MASSACHUSETTS (100%),C,"107,215","102,618","105,430","113,707","111,015","103,717","113,012","108,229","110,408","94,333","104,454","105,331",876,"-1,884",Other
UNIV OF IOWA MAIN PWR PLANT,1004790,207 BURLINGTON ST W,41.657377,-91.539961,IOWA CITY,JOHNSON COUNTY,IA,52242,THE UNIVERSITY OF IOWA (100%),C,"219,864","192,735","225,067","250,875","202,680","151,234","156,489","167,153","176,909","153,483","152,018","154,778","2,760","-65,086",Other
UNIV OF OK HEALTH S/OKC CAMPUS SVCS,1000143,800 NE 15TH ST,35.48447,-97.49865,OKLAHOMA CITY,OKLAHOMA COUNTY,OK,73104,UNIVERSITY OF OKLAHOMA (100%),C,"36,705","33,738","37,822","33,535","37,332","37,183","37,605","38,273","40,925","42,354","42,759","40,262","-2,496","3,558",Other
UNIVERSITY OF CALIFORNIA DAVIS,1002726,1 SHIELDS AVENUE,38.54061,-121.74814,DAVIS,YOLO COUNTY,CA,95616,UC REGENTS (100%),C,"61,947","58,131","57,775","53,075","54,699","54,293","56,353","56,280","54,289","50,895","50,946","49,941","-1,005","-12,007",Other
UNIVERSITY OF CALIFORNIA SAN DIEGO,1002612,9500 GILMAN DRIVE #0089,32.876831,-117.235661,LA JOLLA,SAN DIEGO COUNTY,CA,92093,STATE OF CALIFORNIA (100%),C,"160,456","152,644","148,306","147,477","148,917","154,791","148,878","151,421","159,921","150,685","160,812","164,055","3,243","3,600",Other
"UNIVERSITY OF CALIFORNIA, IRVINE",1006873,4600 HEALTH SCIENCES ROAD,33.63895,-117.85127,IRVINE,ORANGE COUNTY,CA,92697,STATE OF CALIFORNIA (100%),C,"69,985","73,950","71,075","73,408","70,917","71,447","72,832","68,967","69,212","69,069","69,038","71,241","2,203","1,256",Other
UNIVERSITY OF CHICAGO,1005868,6101 S BLACKSTONE,41.784606,-87.590155,CHICAGO,COOK COUNTY,IL,60637,UNIVERSITY OF CHICAGO (100%),C,"102,322","100,840","112,267","116,355","114,897","102,581","105,306","113,122","112,859","103,609","106,246","115,929","9,683","13,606",Other
UNIVERSITY OF CINCINNATI,1000036,3000 Glendora Ave.,39.13457,-84.50982,CINCINNATI,HAMILTON COUNTY,OH,45219,UNIVERSITY OF CINCINNATI (100%),C,"166,855","181,761","138,443","101,058","106,534","139,109","156,734","160,482","159,459","147,967","169,645","158,588","-11,057","-8,267",Other
UNIVERSITY OF CONNECTICUT,1004266,"25 LEDOYT RD, U-3252",41.809771,-72.261402,STORRS MANSFIELD,TOLLAND COUNTY,CT,06269,STATE OF CONNECTICUT (100%),C,"98,111","93,783","96,931","98,072","99,295","94,852","97,136","99,660","102,138","111,503","96,107","100,636","4,529","2,526",Other
UNIVERSITY OF DELAWARE,1003722,222 SOUTH CHAPEL STREET,39.67548,-75.74335,NEWARK,NEW CASTLE COUNTY,DE,19716,UNIVERSITY OF DELAWARE (100%),C,"36,478","34,763","39,075","39,036","38,174","39,529","40,791","43,026","42,411","37,977","39,231","37,126","-2,105",648,Other
UNIVERSITY OF ILLINOIS,1001893,354 ADMINISTRATION BUILDING,40.104712,-88.242048,CHAMPAIGN,CHAMPAIGN COUNTY,IL,61820,UNIVERSITY OF ILLINOIS (100%),C,"271,689","245,737","283,676","281,788","254,971","248,301","236,628","228,199","173,244","178,522","199,047","211,321","12,274","-60,367",Other
UNIVERSITY OF ILLINOIS AT CHICAGO,1004756,1100 SOUTH MORGAN STREET,41.8716,-87.64152,CHICAGO,COOK COUNTY,IL,60607,UNIVERSITY OF ILLINOIS (100%),C,"159,416","137,218","146,488","152,185","137,292","121,405","112,562","140,664","145,262","130,884","134,969","147,095","12,126","-12,320",Other
UNIVERSITY OF KENTUCKY,1004659,211Q Peterson Service Bldg,38.02,-84.5,LEXINGTON,FAYETTE COUNTY,KY,40506,UNIVERSITY OF KENTUCKY (100%),C,"127,928","106,904","98,166","101,278","89,749","87,984","82,555","80,386","80,637","70,644","74,656","75,267",611,"-52,661",Other
UNIVERSITY OF MISSOURI MU POWER PLANT,1003703,401 East Stewart Street,38.94601,-92.33328,COLUMBIA,BOONE COUNTY,MO,65211,UNIVERSITY OF MISSOURI SYSTEM (100%),C,---,---,---,---,---,---,---,"142,518","140,276","131,864","149,230","149,627",397,---,Other
UNIVERSITY OF NEBRASKA MEDICAL CENTER,1007163,4315 EMILE,41.2542,-95.978059,OMAHA,DOUGLAS COUNTY,NE,68198,STATE OF NEBRASKA (100%),C,"30,494","27,460","31,496","31,256","26,411","27,066","32,166","34,989","34,248","31,992","32,231","34,007","1,777","3,514",Other
UNIVERSITY OF NEW MEXICO,1005636,"1801 TUCKER STREET, NE BUILDING 233",35.083933,-106.625396,ALBUQUERQUE,BERNALILLO COUNTY,NM,87131,STATE OF NEW MEXICO (100%),C,"40,422","42,097","43,050","53,203","56,350","53,859","53,673","62,639","63,525","71,541","71,504","54,080","-17,424","13,658",Other
UNIVERSITY OF NORTHERN IOWA - POWER PLANT/MAIN CAMPUS,1005033,1901 W. 30th St,42.510541,-92.469328,CEDAR FALLS,BLACK HAWK COUNTY,IA,50614,UNIVERSITY OF NORTHERN IOWA (100%),C,"64,381","84,768","95,367","96,372","89,329","82,198","86,105","73,513","66,952","51,445","65,601","79,557","13,956","15,176",Other
